Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA4751	41609	15731	20984	29470	32815	18827
PA4752	11221	3425	5885	2296	2673	1712
PA4753	1409	1051	777	2249	2805	2309
PA4754	1157	427	738	2709	2266	1349
PA4755	1757	810	1316	2833	3620	2257
PA4756	9071	4797	7256	18561	16842	10948
PA4757	1604	839	1233	1810	1960	934
PA4758	4478	2656	3808	6621	7124	2829
PA4758.1	8	4	4	2	6	13
PA4759	8074	1556	3109	5119	4459	4370
PA4760	12890	2283	4444	8103	5744	6597
PA4761	145700	32885	52584	62688	23790	56007
PA4762	41017	8562	15395	12484	4701	9995
PA4763	2165	697	1143	1762	2212	901
PA4764	6950	3526	4583	4525	4344	2660
PA4765	1553	1215	1131	5147	2087	2171
PA4766	355	145	203	403	411	156
PA4767	1536	647	1076	1429	1502	638
PA4768	288	187	138	2099	650	1008
PA4769	1781	670	1087	2465	2982	1170
PA4770	873	513	542	3254	3346	1438
PA4771	381	156	242	1663	1921	971
PA4772	476	193	269	2731	2996	1708
PA4773	222	74	99	3309	3321	2308
PA4774	492	135	188	7534	8687	4174
PA4775	325	132	209	1865	2925	2048
PA4776	202	65	123	1879	1582	1054
PA4777	367	157	228	1999	2666	852
PA4778	2175	1403	1912	2253	1968	899
PA4779	367	210	274	281	402	140
PA4780	1605	581	824	1189	1716	435
PA4781	2466	887	1677	1495	1584	675
PA4782	207	73	121	890	1380	633
PA4783	235	79	135	286	754	198
PA4784	238	125	193	581	764	223
PA4785	1415	597	941	532	533	302
PA4786	1513	710	1093	387	482	258
PA4787	3255	1373	2453	2157	2485	1666
PA4788	516	319	449	83	107	27
PA4789	82	84	59	159	139	68
PA4790	229	96	131	272	323	126
PA4791	375	252	329	199	330	153
PA4792	789	273	505	611	482	255
PA4793	1169	903	1012	1612	1923	983
PA4794	368	212	348	389	485	178
PA4795	57	84	81	54	275	130
PA4796	638	225	462	465	597	245
PA4797	383	177	223	362	465	196
PA4798	2170	1171	1859	1157	1907	475
PA4799	515	267	373	238	425	79
PA4800	181	60	140	292	322	123
PA4801	210	70	105	368	421	186
PA4802	259	113	163	430	689	168
PA4802.1	75	27	46	75	98	53
PA4803	1034	560	765	717	948	358
PA4804	289	140	245	391	474	245
PA4805	166	104	123	190	197	102
PA4806	231	104	175	261	316	137
PA4807	690	316	460	850	1403	572
PA4808	526	284	357	1631	1820	1101
PA4809	708	375	540	1068	1641	559
PA4810	830	481	663	1199	2204	708
PA4811	1666	1170	1612	4685	9045	3492
PA4812	6592	5555	6740	19250	32483	14658
PA4813	118	62	111	112	105	67
PA4814	111	37	97	49	96	48
PA4815	262	142	174	347	400	150
PA4816	404	113	198	454	691	328
PA4817	68	12	41	261	328	67
PA4818	68	27	24	78	110	57
PA4819	14	15	19	34	54	22
PA4820	31	20	22	57	84	56
PA4821	297	117	162	332	557	285
PA4822	92	78	99	285	328	152
PA4823	3	0	2	4	9	4
PA4824	21	7	12	33	44	18
PA4825	227	100	126	508	372	303
PA4826	403	93	123	524	470	169
PA4827	686	194	400	692	570	280
PA4828	290	151	208	94	137	63
PA4829	1459	572	1030	552	543	307
PA4830	124	78	110	176	210	92
PA4831	266	113	153	734	502	370
PA4832	85	55	71	239	251	134
PA4833	1026	449	570	451	460	252
PA4834	149	66	68	125	170	75
PA4835	88	54	97	173	160	60
PA4836	39	29	49	84	121	54
PA4837	241	108	190	282	296	105
PA4838	164	98	149	473	457	224
PA4839	2071	784	1493	5525	3939	2927
PA4840	715	230	360	776	884	309
PA4841	2096	512	1024	1169	1456	679
PA4842	10974	3649	5275	5349	6812	3474
PA4843	299	97	265	814	807	667
PA4844	106	67	70	81	140	93
PA4845	1624	641	970	1693	2487	754
PA4846	728	378	579	2110	1956	1248
PA4847	635	460	785	2543	3294	4402
PA4848	6972	3850	6882	41167	38765	21133
PA4849	165	75	88	311	420	94
PA4850	1794	937	1122	4778	3793	1939
PA4851	1644	734	1094	2954	2799	1802
PA4852	4467	1385	2398	8597	8735	4239
PA4853	324	140	183	1662	1646	1293
PA4854	1777	666	1035	11201	7726	5307
PA4855	1039	364	611	6462	5784	3366
PA4856	899	476	582	3464	3468	1782
PA4857	136	53	67	157	105	51
PA4858	234	152	139	213	197	126
PA4859	39	20	48	81	116	85
PA4860	43	17	24	39	84	24
PA4861	26	19	20	71	74	50
PA4862	65	32	49	110	133	58
PA4863	422	107	210	310	430	182
PA4864	141	70	108	48	246	89
PA4865	52	24	47	95	141	73
PA4866	182	66	88	232	310	136
PA4867	268	109	156	234	326	184
PA4868	1191	456	729	1170	1811	711
PA4869	2287	544	1029	1098	1379	520
PA4870	574	179	218	379	340	254
PA4871	230	162	198	330	523	259
PA4872	1174	558	739	2398	1697	956
PA4873	1248	548	933	1293	1142	666
PA4874	6149	2748	3483	1416	1793	949
PA4876	1795	1052	1473	788	1005	515
PA4877	1485	916	1359	103	210	102
PA4878	794	287	486	552	733	248
PA4879	1857	841	1232	1348	1460	650
PA4880	1788	1383	2096	1278	1157	746
PA4881	32	24	32	117	53	57
PA4882	89	37	62	77	105	47
PA4883	31	6	16	9	11	9
PA4884	53	29	59	24	37	25
PA4885	115	78	94	499	223	241
PA4886	193	100	152	769	682	340
PA4887	366	241	387	1646	2011	496
