Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA0395	2746	3151	1232	3127	3296	2729
PA0396	2037	2535	850	3649	3203	2563
PA0397	771	1078	491	517	624	510
PA0398	698	1048	386	1655	1232	1133
PA0399	2900	3202	1249	2603	4016	3784
PA0400	2398	2453	1124	2144	3854	3575
PA0401	1725	2259	534	4126	5817	4720
PA0402	1552	1928	550	6348	6842	4907
PA0403	870	1141	293	4011	3805	2304
PA0404	936	1433	268	1175	1707	1271
PA0405	1335	1926	764	2307	2317	2016
PA0406	736	797	348	1641	1584	1341
PA0407	2823	2968	1055	4788	4228	3249
PA0408	1707	1315	1711	7990	5258	3593
PA0409	886	499	709	3389	2840	2122
PA0410	861	1115	488	3763	4352	2993
PA0411	2445	2415	1143	13019	14465	11451
PA0412	553	832	296	2042	2615	2117
PA0413	4747	7975	2862	15017	23549	19918
PA0414	336	696	186	1337	1619	1351
PA0415	294	636	182	845	1089	985
PA0416	97	221	60	356	561	411
PA0417	162	235	169	224	311	320
PA0418	356	495	136	956	1166	1111
PA0419	410	538	208	938	1580	1654
PA0420	868	922	385	2410	3488	3342
PA0421	2126	2189	1279	2596	4356	5240
PA0422	1678	1877	767	2126	2408	1597
PA0423	5214	4756	1915	10681	9407	8636
PA0424	1506	2203	862	1073	1057	790
PA0425	2715	2918	994	4559	7224	7215
PA0426	6647	7728	2958	15459	23190	20463
PA0427	2049	2788	854	5581	7951	8443
PA0428	4331	5904	2010	10497	22830	17727
PA0429	3856	5469	1743	5473	6781	4628
PA0430	1342	2050	739	1926	4403	3608
PA0431	1497	1631	732	2263	4052	3532
PA0432	12157	14229	4604	20171	35093	30018
PA0433	669	1098	243	242	259	261
PA0434	625	826	391	385	576	396
PA0435	152	205	67	120	198	117
PA0436	917	1164	643	2026	1040	669
PA0437	793	1173	405	1968	3289	3089
PA0438	249	294	89	495	896	888
PA0439	156	308	53	95	89	119
PA0440	338	546	157	186	218	230
PA0441	641	1287	341	206	268	281
PA0442	4	0	1	0	0	0
PA0443	275	377	89	114	158	127
PA0444	442	884	292	302	321	301
PA0445	293	401	239	308	413	402
PA0446	1692	5088	3210	931	1095	1104
PA0447	2975	17485	9627	1557	1318	1033
PA0448	371	534	151	1001	1238	1371
PA0449	897	1293	514	3573	2731	2125
PA0450	310	407	158	652	709	605
PA0451	5888	7408	2227	290	606	321
PA0452	500	737	255	111	127	94
PA0451a	300	475	175	245	293	229
PA0454	833	1367	451	1773	2006	1377
PA0455	1688	2564	834	2596	3352	2722
PA0456	26787	62775	24289	91273	32470	19838
PA0457	252	407	232	542	570	367
PA0457.1	151	152	48	328	340	273
PA0458	535	790	240	1374	1310	1184
PA0459	2593	2873	1001	2974	3015	1298
PA0460	2793	6321	1447	2755	3524	2977
PA0461	1422	1723	726	2230	2400	2488
PA0462	1627	3988	1113	1337	1190	946
PA0463	393	637	144	592	845	788
PA0464	456	645	259	1257	1445	1510
PA0465	140	234	69	212	244	252
PA0466	41	40	9	40	73	22
PA0467	334	523	156	635	658	534
PA0468	577	1111	294	813	1035	806
PA0469	920	1499	639	1317	1754	1437
PA0470	2405	1685	688	721	1214	1032
PA0471	798	976	324	66	139	155
PA0472	1366	1760	567	92	215	329
PA0473	1453	2564	715	1158	997	1116
PA0474	15	34	5	17	25	20
PA0475	235	313	122	264	347	418
PA0476	878	1018	407	776	784	751
PA0477	251	371	116	737	701	538
PA0478	332	480	285	724	523	476
PA0479	288	450	199	421	422	358
PA0480	37	39	14	65	74	62
PA0481	91	102	59	137	184	218
PA0482	5958	8084	2155	7264	8643	10321
PA0483	1689	2771	918	522	510	582
PA0484	2515	3835	965	505	455	337
PA0485	493	739	310	815	984	882
PA0486	925	1469	469	1352	1318	983
PA0487	492	863	236	1182	1114	825
PA0488	77	199	35	32	71	88
PA0489	232	542	189	284	284	207
PA0490	672	1642	674	451	322	293
PA0491	560	575	232	1127	994	757
PA0492	408	1187	388	388	794	613
PA0493	91	261	169	69	197	160
PA0494	527	1340	305	267	862	745
PA0495	798	1453	359	717	967	812
PA0496	535	1407	329	317	676	654
PA0497	175	206	165	273	270	173
PA0498	486	430	643	1113	505	354
PA0499	215	283	242	278	202	184
PA0500	2978	3961	1375	7326	9501	7411
PA0501	455	802	195	1194	2356	1901
PA0502	507	903	212	929	1568	1535
PA0503	139	289	72	335	577	563
PA0504	127	236	45	201	424	394
PA0505	7273	6882	5924	2259	1557	1508
PA0506	8242	10245	3292	4728	5314	5487
PA0507	448	778	236	529	624	552
PA0508	1797	1735	683	1090	1510	1691
PA0509	2419	2147	1111	458	586	362
PA0510	1091	1314	567	258	235	157
PA0511	1693	1739	511	427	367	233
PA0512	683	907	431	241	244	177
PA0513	612	596	160	193	204	127
PA0514	1120	1112	590	375	328	163
PA0515	1036	1303	459	442	441	330
PA0516	2575	3145	1296	1490	1266	856
PA0517	352	259	110	72	118	69
PA0518	2073	1860	884	704	581	360
PA0519	22708	18027	7300	15348	9183	5941
PA0520	4949	8276	2182	745	540	606
PA0521	1254	1687	407	81	81	57
PA0522	232	440	80	10	41	23
PA0523	23646	14694	5500	267	422	288
PA0524	27688	36135	18067	768	971	686
PA0525	5293	8410	1851	677	853	395
PA0526	446	571	423	319	330	168
PA0527	2439	2463	1218	7035	3785	2166
PA0527.1	22482	16657	19400	3501	2505	5756
PA0528	219	269	167	434	624	449
PA0529	249	518	596	1300	1499	753
PA0530	203	374	98	610	760	497
PA0531	193	313	62	232	320	209
PA0532	189	217	149	197	218	199
PA0533	472	617	205	974	1128	1065
PA0534	5479	8498	3375	841	967	963
PA0535	871	1660	777	236	504	537
PA0536	890	1513	504	2457	3221	3127
PA0537	1300	2230	745	3305	3283	2785
PA0538	686	947	359	552	667	560
PA0539	133	243	104	303	250	171
PA0540	228	363	106	204	232	216
PA0541	1302	1524	518	1880	2819	2525
PA0542	2528	2955	1028	5688	6412	4268
PA0543	401	923	215	225	291	265
PA0544	754	912	291	819	799	651
