Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA0606	480	432	525	4456	3331	3248
PA0607	1079	1398	1300	4481	4532	4172
PA0608	762	758	894	2294	2954	2150
PA0609	1994	1695	2878	4286	5550	4321
PA0610	2776	2336	5556	9036	8671	8773
PA0611	1056	1437	2384	5329	7841	5835
PA0612	2417	4295	6469	5671	9775	6062
PA0613	4634	6209	9899	11913	21388	14203
PA0614	2417	3969	8363	5059	8068	2995
PA0615	5023	16496	9636	16433	45379	23181
PA0616	14584	7916	20590	17196	26966	20510
PA0617	6784	6488	9811	8711	18878	13036
PA0618	11888	20127	19734	20976	51967	29920
PA0619	17426	18461	24799	23460	48984	30413
PA0620	53591	48141	74236	50247	109003	71890
PA0621	9114	4500	11356	7918	10565	9376
PA0622	69104	59170	95341	57689	107454	77565
PA0623	15156	15650	21324	17595	28647	24345
PA0624	12585	8475	18111	10084	14946	12464
PA0625	59002	55517	83301	41760	91718	66788
PA0626	15682	23879	23912	9581	28665	18145
PA0627	1967	2073	2562	830	2029	1492
PA0628	21828	16796	27625	12496	26117	20619
PA0629	5698	3765	7561	2706	4887	4330
PA0630	1827	1346	3107	928	1871	1153
PA0631	3954	5629	6033	2773	7134	4577
PA0633	15183	28171	28821	37266	68548	46443
PA0634	10043	9559	17387	18038	35152	24064
PA0635	9156	13878	17242	21870	40344	24169
PA0636	32084	28325	46151	24118	63447	41736
PA0637	5484	8060	7759	5094	18116	10771
PA0638	6719	11604	10586	7726	22188	13653
PA0639	9250	11556	13740	7219	19993	12082
PA0640	10246	6129	13227	5072	12079	9311
PA0641	53414	42778	72513	43258	84965	62216
PA0643	11452	7419	15024	9210	10535	9344
PA0644	2752	1634	3281	2889	4205	3323
PA0645	2173	2064	2799	2667	4205	3025
PA0646	11477	6764	13694	13760	16510	13737
PA0647	2051	4510	2808	4078	7974	5236
PA0648	2402	850	2650	2397	2678	2053
PA0649	2165	2283	2675	4864	7161	5201
PA0650	2345	1327	3498	3220	3466	3197
PA0651	1994	1763	3064	4000	4544	4211
PA0652	3511	2496	4337	8847	5573	5800
PA0653	1852	1195	2606	2950	3019	2804
PA0654	1953	652	1683	4759	2652	4550
PA0655	2324	4908	3300	7491	8137	6515
PA0656	880	1618	1153	466	859	601
PA0657	1281	1024	1608	1981	2470	2032
PA0658	842	1378	1203	2521	3722	2637
PA0659	2119	1343	1900	7486	6444	6237
PA0660	1531	1759	2332	3535	3685	3469
PA0661	491	523	703	1149	1000	910
PA0662	979	1459	1664	4141	5181	5050
PA0663	898	591	1070	2680	2621	2861
PA0664	867	895	1203	3736	3918	4143
PA0665	1124	2533	1907	2550	3259	2816
PA0666	2432	2176	3886	3390	3115	2932
PA0667	5007	2261	5821	6410	4013	4703
PA0668	3203	2197	4023	10123	10576	10369
PA0668.1	737666	3458	429845	152578	9126	23966
PA0668.2	335	207	261	1107	992	1239
PA0668.3	57	73	57	219	258	212
PA0668.4	1143630	15313	515764	494841	20915	50936
PA0668.5	667	40	519	1794	1004	962
PA0669	907	1199	1841	5792	8814	5974
PA0670	330	790	862	3554	4909	3517
PA0671	360	1312	762	3206	4572	2824
PA0672	1426	2163	2250	277	260	229
PA0673	116	204	113	74	56	59
PA0674	53	70	102	59	69	53
PA0675	18	37	42	22	17	37
PA0676	50	91	81	54	40	63
PA0677	10	17	15	19	21	18
PA0678	11	31	12	10	11	7
PA0679	53	241	96	67	101	83
PA0680	26	51	43	30	26	28
PA0681	25	51	29	26	22	27
PA0682	23	31	36	37	32	26
PA0683	8	20	20	9	17	15
PA0684	9	5	20	16	19	7
PA0685	89	179	134	80	123	103
PA0686	36	51	40	68	50	45
PA0687	23	21	35	28	68	39
PA0688	335	506	543	557	756	763
PA0689	510	321	618	437	331	359
PA0690	1686	2025	2549	2140	2170	2116
PA0691	7	7	13	11	14	9
PA0692	36	40	52	40	35	38
PA0693	59	68	66	41	27	50
PA0694	7	6	9	15	9	0
PA0695	4	17	7	9	20	18
PA0696	74	171	149	97	123	100
PA0697	8	8	14	5	19	11
PA0698	6	12	8	11	13	13
PA0699	14	26	41	29	45	38
PA0700	9	15	34	15	9	16
PA0701	56	89	94	58	69	76
PA0701a	38	48	131	58	62	74
PA0702	38	46	82	100	99	141
PA0703	142	271	185	206	340	226
PA0704	534	807	929	536	652	436
PA0705	1425	780	1758	3426	2444	2646
PA0706	1408	557	1375	1112	775	867
PA0707	682	175	396	166	157	149
PA0708	192	317	415	541	522	437
PA0709	22	21	36	27	21	24
PA0710	25	47	54	30	45	43
PA0711	47	51	91	68	104	75
PA0712	278	362	322	271	326	273
PA0713	928	213	1507	154	81	123
PA0714	233	427	367	114	172	162
PA0714.1	400	83	463	57	26	26
PA0715	1045	1234	1524	739	116	172
PA0716	712	867	884	766	79	94
PA0718	47	90	112	169	169	166
PA0719	47	144	68	251	340	228
PA0720	50	45	97	177	321	208
PA0721	0	4	0	0	0	5
PA0722	51	53	55	211	297	213
PA0723	430	519	874	1614	1635	1561
PA0724	64	96	116	75	119	110
PA0725	11	9	21	25	15	11
PA0726	68	138	106	87	124	116
PA0727	73	123	138	139	121	119
PA0728	88	67	90	169	139	131
PA0729	1310	619	1178	1960	1803	1833
PA0729.1	52	46	72	144	258	175
PA0730	1380	770	1428	2055	1370	1132
PA0731	1117	1460	1339	477	703	627
PA0732	825	801	1245	735	843	554
PA0733	317	381	355	320	457	282
PA0734	229	488	224	212	301	199
PA0735	235	286	281	740	707	603
PA0736	365	539	505	922	1048	830
PA0736a	1864	4601	3849	411	785	327
PA0737	471	427	946	89	135	93
PA0738	71	74	147	33	37	40
PA0739	187	233	232	240	228	222
PA0740	99	166	172	176	151	152
PA0741	182	247	353	180	193	161
PA0742	218	257	300	279	202	184
PA0743	713	1198	1765	117	83	94
PA0744	554	688	957	230	228	232
PA0745	674	549	1028	280	268	257
PA0746	716	759	954	207	230	211
PA0747	1395	1244	1922	530	471	568
PA0749	276	242	267	742	697	729
PA0750	537	309	534	1461	1103	1496
PA0751	310	474	462	355	396	343
PA0752	609	768	752	118	93	101
PA0753	79	182	138	11	31	13
